PitcherThrows,RelSpeed,SpinRate,RelHeight,ZoneSpeed,ZoneTime,Extension,VertRelAngle,HorzRelAngle,SpinAxis,RelSide,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,VertApprAngle,HorzApprAngle,TaggedPitchNum
387,Left,77.1248,1512.078797,4.81842,70.98384,0.492267,5.89715,-0.135422,3.212133,124.949613,-1.29372,-33.53785,13.24194,-16.91521,1.89768,0.2819,-6.370106,0.179922,2
388,Left,88.42152,2189.078273,5.15641,80.4379,0.430507,5.94192,0.204152,1.542953,129.712892,-1.31111,-22.22789,13.5502,-14.90961,3.49353,-1.12199,-3.988456,-1.13497,0
401,Left,85.8525,1858.038063,5.20274,77.64259,0.446424,5.81638,-1.190783,1.146332,145.017734,-1.06667,-24.71726,13.75548,-8.66689,2.03541,-0.72292,-5.838412,-0.407653,0
402,Left,86.63947,1898.339943,5.28185,78.9082,0.44019,5.84025,-0.409697,1.065039,152.593881,-1.10871,-23.65966,13.74607,-6.49189,2.92937,-0.65976,-4.85396,-0.09909,0
403,Left,89.9871,2206.694153,5.33611,81.66148,0.426542,5.77073,-3.485243,2.665794,153.007261,-1.14587,-17.96674,17.15544,-8.10678,0.58802,0.66112,-6.882382,1.215483,0
404,Left,87.55828,2094.831959,5.1625,79.15655,0.437657,5.95074,-2.902746,3.113147,149.641215,-1.01858,-20.15521,16.82123,-9.06327,0.78447,1.11627,-6.724574,1.487186,0
405,Left,74.76729,1441.520216,4.79745,68.58666,0.513825,5.37346,0.879404,2.026868,114.693225,-1.37318,-43.66711,7.29981,-12.38288,1.98357,-0.50405,-7.124204,-0.17409,2
406,Left,86.44922,2055.049036,5.12551,78.53581,0.441754,5.84876,-0.596086,1.536707,138.271759,-1.14577,-23.73643,13.93544,-11.29658,2.59335,-0.65885,-5.060849,-0.489204,0
407,Left,72.74383,2121.699044,4.72532,67.31842,0.525257,5.62884,1.402119,0.842268,318.914861,-1.5238,-64.29622,-11.03634,11.02119,0.67598,0.18058,-10.279289,2.815677,1
408,Left,87.31092,2112.99263,5.32909,79.69024,0.434615,6.025,-0.206123,0.747269,140.997937,-1.39074,-20.84127,15.62296,-11.71485,3.4014,-1.67486,-4.151448,-1.360737,0
409,Left,85.15228,1918.757679,5.22109,77.86749,0.446045,6.02584,-1.52058,3.02053,142.705257,-1.0804,-21.88667,16.52064,-11.64241,1.98664,0.74942,-5.651057,0.928779,0
410,Left,75.80357,1346.148174,4.82306,70.04173,0.496186,6.35945,-0.224989,2.392687,110.480192,-1.11991,-41.74672,5.78087,-11.67379,1.13693,0.11059,-7.981656,0.277832,2
411,Left,87.59013,1989.008127,5.19652,80.26159,0.434688,5.81491,-1.348915,2.985368,138.559144,-1.04869,-20.6734,15.80312,-12.94792,2.21755,0.65068,-5.233859,0.668092,0
412,Left,88.41636,1916.1922,5.13769,80.43526,0.43188,5.83698,-1.229002,2.215565,138.575675,-1.10926,-21.30639,14.70032,-11.90953,2.21885,-0.04147,-5.242707,0.081193,0
413,Left,87.45759,2036.518174,5.20486,79.79773,0.435272,5.94747,-2.114262,1.390808,144.594089,-1.42957,-19.22088,17.35363,-11.47839,1.64066,-1.09587,-5.754255,-0.671847,0
414,Left,76.69343,1494.322078,4.88169,70.31381,0.491537,6.4122,-0.598696,2.861316,127.464935,-1.20527,-34.616,12.0252,-13.73894,1.44588,0.28269,-7.094271,0.37262,2
415,Left,75.75051,1451.128645,4.80304,69.32511,0.497938,6.39377,0.84802,2.229997,109.195601,-1.42157,-40.84447,7.01937,-15.75985,2.17992,-0.68289,-6.792465,-0.625135,2
416,Left,88.41428,2118.868841,5.21012,80.35023,0.431886,6.0176,-3.013347,3.902648,140.265578,-1.16433,-19.3569,16.65088,-12.8006,0.79677,1.38951,-6.681062,1.606036,0
417,Left,76.94775,1473.059991,4.96207,70.3745,0.490919,6.32483,-0.177637,2.171162,131.214849,-1.32497,-33.85136,12.67272,-12.74509,1.97742,-0.38664,-6.536787,-0.134714,2
418,Left,88.20337,1889.453454,5.16388,81.31794,0.430404,5.92662,-2.625428,3.561809,142.814924,-1.05667,-21.82867,13.93233,-9.75375,0.90235,1.43968,-6.696571,1.813758,0
419,Left,87.15859,2041.761711,5.22864,80.55146,0.43323,6.02445,-1.308469,2.783104,142.036583,-0.98683,-21.08025,15.15198,-11.01776,2.25846,0.67466,-5.26178,0.803081,0
420,Left,70.66517,1823.369843,4.77901,64.49267,0.540965,5.86094,3.879456,-0.4796,321.854549,-1.44942,-66.80082,-10.30772,9.54741,2.822,-1.09937,-8.384355,1.233215,1
421,Left,87.62812,1873.515336,5.2191,79.60662,0.435067,5.99688,-0.68759,3.662672,165.391332,-0.99606,-19.31155,17.22847,-4.17201,2.97132,2.0549,-4.359576,2.915074,0
431,Left,84.68815,1694.434069,5.18514,77.28805,0.450942,5.94597,-2.782581,2.899653,116.74083,-1.23175,-29.72691,9.52843,-16.24902,0.12162,0.10598,-8.299362,-0.020863,0
432,Left,84.74685,1804.46008,5.1283,76.92507,0.450822,5.98695,-2.494435,2.503455,128.509294,-1.30134,-24.82167,14.41272,-16.36843,0.74428,-0.34365,-7.159489,-0.439786,0
433,Left,85.11213,2058.180553,5.1848,77.56841,0.446448,6.08286,-1.718367,1.531885,140.388937,-1.33772,-22.65147,15.82544,-12.03308,1.7064,-0.92292,-5.997559,-0.636123,0
434,Left,85.79884,1898.508401,5.18742,78.19481,0.442235,6.10887,-0.579947,2.177005,141.481884,-1.28992,-22.82832,14.92564,-10.89945,2.74839,-0.18419,-4.896398,0.213976,0
435,Left,86.26879,2210.966607,5.21801,78.98644,0.440923,5.90062,-1.842888,2.237054,137.9346,-1.33257,-20.82958,16.70072,-13.99347,1.76952,-0.42093,-5.766516,-0.274066,0
436,Left,75.24378,1377.149514,5.02019,68.35578,0.50739,5.98222,-0.541602,1.586237,145.168015,-1.62073,-35.85844,13.83973,-8.41394,1.52977,-0.85123,-7.250949,0.07287,2
437,Left,75.33487,1357.30994,4.91482,69.40332,0.498281,6.52121,0.002881,2.820553,128.651216,-1.43605,-38.99612,8.93382,-9.34485,1.66779,0.37514,-7.292791,1.12446,2
438,Left,85.17356,1922.36038,5.14001,77.67259,0.444691,6.18071,-0.61942,1.006697,147.79951,-0.99349,-23.40033,14.77418,-8.52221,2.61788,-0.77396,-5.045726,-0.53149,0
439,Left,85.4472,1748.900197,5.14222,78.33141,0.443384,6.12435,-1.815267,1.428042,151.729574,-1.38917,-26.59088,11.35953,-5.45953,1.24716,-0.52375,-6.785206,0.443229,0
440,Left,86.50645,1930.977989,5.29041,79.09685,0.43831,6.03464,-0.48427,1.195118,156.290954,-1.20393,-21.54647,15.54036,-6.31276,3.04634,-0.62318,-4.554898,0.059159,0
495,Left,80.00224,1921.154866,6.32654,73.11736,0.483983,5.13507,-2.05996,2.542085,125.349686,-1.88817,-32.67092,12.5478,-15.53237,1.66138,-0.78711,-8.046169,-0.207725,0
